Iteration,Discriminator Loss,Generator Loss
1290,1.374198,0.673105
1300,1.330889,0.713519
1300,1.330889,0.713519
1310,1.375451,0.630254
1310,1.375451,0.630254
1320,1.375376,0.656364
1320,1.375376,0.656364
1330,1.352048,0.668837
1330,1.352048,0.668837
1340,1.381817,0.663972
1340,1.381817,0.663972
1350,1.364741,0.706668
1350,1.364741,0.706668
1360,1.366725,0.650771
1360,1.366725,0.650771
1370,1.326688,0.559366
1370,1.326688,0.559366
1380,1.361821,0.637313
1380,1.361821,0.637313
1390,1.369423,0.666356
1390,1.369423,0.666356
1400,1.373343,0.670544
1400,1.373343,0.670544
1410,1.338243,0.645003
1410,1.338243,0.645003
1420,1.361182,0.703815
1420,1.361182,0.703815
1430,1.348984,0.629284
1430,1.348984,0.629284
1440,1.344074,0.620136
1440,1.344074,0.620136
1450,1.349427,0.630447
1450,1.349427,0.630447
1460,1.376365,0.696125
1460,1.376365,0.696125
1470,1.326377,0.661088
1470,1.326377,0.661088
1480,1.373275,0.638727
1480,1.373275,0.638727
1490,1.371723,0.653333
1490,1.371723,0.653333
1500,1.361799,0.638011
1500,1.361799,0.638011
1510,1.369232,0.704924
1510,1.369232,0.704924
1520,1.347956,0.631709
1520,1.347956,0.631709
1530,1.375743,0.683506
1530,1.375743,0.683506
1540,1.370230,0.697265
1540,1.370230,0.697265
1550,1.373032,0.686052
1550,1.373032,0.686052
1560,1.355888,0.681486
1560,1.355888,0.681486
1570,1.383955,0.681117
1570,1.383955,0.681117
1580,1.362787,0.672725
1580,1.362787,0.672725
1590,1.356653,0.626564
1590,1.356653,0.626564
1600,1.377300,0.630019
1600,1.377300,0.630019
1610,1.314455,0.535271
1610,1.314455,0.535271
1620,1.357227,0.682443
1620,1.357227,0.682443
1630,1.334470,0.615044
1630,1.334470,0.615044
1640,1.355828,0.702964
1640,1.355828,0.702964
1650,1.318469,0.607964
1650,1.318469,0.607964
1660,1.354987,0.616667
1660,1.354987,0.616667
1670,1.370523,0.685088
1670,1.370523,0.685088
1680,1.289561,0.578679
1680,1.289561,0.578679
1690,1.303391,0.654643
1690,1.303391,0.654643
1700,1.250046,0.638990
1700,1.250046,0.638990
1710,1.333605,0.659287
1710,1.333605,0.659287
1720,1.303764,0.633354
1720,1.303764,0.633354
1730,1.265545,0.621496
1730,1.265545,0.621496
1740,1.322116,0.619098
1740,1.322116,0.619098
1750,1.233602,0.614386
1750,1.233602,0.614386
1760,1.321179,0.629792
1760,1.321179,0.629792
1770,1.315599,0.583227
1770,1.315599,0.583227
1780,1.266658,0.611901
1780,1.266658,0.611901
1790,1.213495,0.548371
1790,1.213495,0.548371
1800,1.296457,0.599505
1800,1.296457,0.599505
1810,1.241114,0.584803
1810,1.241114,0.584803
1820,1.283970,0.622846
1820,1.283970,0.622846
1830,1.296386,0.638959
1830,1.296386,0.638959
1840,1.267961,0.582450
1840,1.267961,0.582450
1850,1.283242,0.568548
1850,1.283242,0.568548
1860,1.242698,0.582498
1860,1.242698,0.582498
1870,1.301565,0.586760
1870,1.301565,0.586760
1880,1.287876,0.624958
1880,1.287876,0.624958
1890,1.316890,0.614588
1890,1.316890,0.614588
1900,1.226485,0.536437
1900,1.226485,0.536437
1910,1.199424,0.602058
1910,1.199424,0.602058
1920,1.248747,0.574716
1920,1.248747,0.574716
1930,1.253209,0.566913
1930,1.253209,0.566913
1940,1.216853,0.540219
1940,1.216853,0.540219
1950,1.270479,0.587142
1950,1.270479,0.587142
1960,1.241266,0.519595
